#separator:Tab
#html:true
#deck:biohack::languages::es-en
#columns:ID	Spanish	English	SpanishExample	EnglishExample	Grammar	SortKey	Tags	Checksum
#tags column:8
biohack:es-en:0099	atrás	back, behind, backward	Se quedó atrás porque caminaba muy despacio.	She remained behind because she was walking very slowly.		atras	biohack es-en letter-a	2d94ea63554b
biohack:es-en:0100	atrasado	slow	Mi reloj debe estar atrasado.	Muy watch must be slow.		atrasado	biohack es-en letter-a	49b6295d44ac
biohack:es-en:0101	atravesar	to cross	Espere la señal verde antes de empezar a atravesar.	Wait for the green signal before starting to cross.	verb	atravesar	biohack es-en letter-a verb	247104b3509d
biohack:es-en:0102	atreverse	to dare	No me atrevo a decirle tal cosa.	I don’t dare tell him such a thing.	verb	atreverse	biohack es-en letter-a verb	334b25220a40
biohack:es-en:0103	aunque	although	Aunque no tenemos mucho dinero, quiero comprar esta pintura.	Although we don’t have much money, I want to buy this painting.		aunque	biohack es-en letter-a	c963e3fd3554
biohack:es-en:0104	el autobús	m. bus	El autobús para en la próxima esquina.	The bus stops at the next comer.	masculine noun	autobus	biohack es-en letter-a noun	d181d8790347
biohack:es-en:0105	el automóvil	m. automobile, car	Si quiere, le puedo llevar en mi autómovil.	If you wish, I can take you in my automobile.	masculine noun	automovil	biohack es-en letter-a noun	ae46ebede4b5
biohack:es-en:0106	la autoridad	f. authority	No se sabe quién tiene la autoridad en este asunto.	It is not known who has the authority in this matter.	feminine noun	autoridad	biohack es-en letter-a noun	6d9f112542ba
biohack:es-en:0107	la avenida	f. avenue	La Quinta Avenida es una calle elegante.	Fifth Avenue is an elegant street.	feminine noun	avenida	biohack es-en letter-a noun	e9fbc589ce72
biohack:es-en:0108	averiguar	to ascertain, find out	Trate de averiguar si es verdad todo lo que dijo.	Try to find out if everything he said is true.	verb	averiguar	biohack es-en letter-a verb	25a48578a57e
biohack:es-en:0109	el avión	m. airplane	¿A qué hora debe llegar el avión de Guadalajara?	At what time should the plane from Guadalajara arrive?	masculine noun	avion	biohack es-en letter-a noun	134cb2bbeb29
biohack:es-en:0110	avisar	to inform, warn	Haga el favor de avisarme cuando debo bajar.	Please let me know when I should get off.	verb	avisar	biohack es-en letter-a verb	d30edcf6318a
biohack:es-en:0111	el aviso	m. notice, warning	Leí el aviso en el periódico.	I read the notice in the paper.	masculine noun	aviso	biohack es-en letter-a noun	11cc35ec856b
biohack:es-en:0112	ayer	yesterday	Ayer hicimos mucho y estamos cansados hoy.	We did a lot yesterday and are tired today.		ayer	biohack es-en letter-a	b6557a87809a
biohack:es-en:0113	ayudar	to help	¿Puede usted ayudarme?	Can you help me?	verb	ayudar	biohack es-en letter-a verb	91feecac57c3
biohack:es-en:0114	el ayuntamiento	m. town hall	Muchas oficinas del gobierno municipal están en el ayuntamiento.	Many offices of the municipal government are in the town hall.	masculine noun	ayuntamiento	biohack es-en letter-a noun	0246d3a83c00
biohack:es-en:0115	bailar	to dance	;Me permite bailar con usted?	May I dance with you?	verb	bailar	biohack es-en letter-b verb	b0a638096aba
biohack:es-en:0116	el baile	m. dance	Mi baile favorito es el tango.	My favorite dance is the tango.	masculine noun	baile	biohack es-en letter-b noun	080ac4fda783
biohack:es-en:0117	bajar	to go down, get off	Creo que bajamos en la próxima parada.	I think we get off at the next stop.	verb	bajar	biohack es-en letter-b verb	4a202d772691
biohack:es-en:0118	bajo	low, short (stature)	Es más bajo que su padre.	He's shorter than his father.		bajo	biohack es-en letter-b	7effaaa0f479
biohack:es-en:0119	el banco	m. bank, bench	Vamos al banco para cobrar estos cheques.	Let's go to the bank to cash these checks.	masculine noun	banco	biohack es-en letter-b noun	cc80f520ec29
biohack:es-en:0120	la bandera	f. flag	Los colores de la bandera americana son rojo, blanco y azul.	The colors of the American flag are red, white and blue.	feminine noun	bandera	biohack es-en letter-b noun	c74b7c20e8b9
biohack:es-en:0121	bañar(se)	to bathe	Prefiero bañarme por la mañana.	I prefer to bathe in the morning.	verb	banar(se)	biohack es-en letter-b verb	308f5ac5fd29
biohack:es-en:0122	el baño	m. bath, bathroom	Una habitación para dos con baño, por favor.	A room for two with bath, please.	masculine noun	bano	biohack es-en letter-b noun	5c97a021692d
biohack:es-en:0123	barato	cheap, inexpensive	Cómprelo; es muy barato.	Buy it; it's very cheap.		barato	biohack es-en letter-b	73de1d4b77a3
biohack:es-en:0124	la barba	f. chin, beard	Aunque es joven, tiene la barba gris.	Although he's young, he has a gray beard.	feminine noun	barba	biohack es-en letter-b noun	c0a2140fddd0
biohack:es-en:0125	el barco	m. boat, ship	Me gusta cruzar el lago en barco de vela.	I like to go across the lake in a sailboat.	masculine noun	barco	biohack es-en letter-b noun	b55a378e3ff4
biohack:es-en:0126	el barrio	m. district, neighborhood	Mucha gente rica vive en este barrio.	Many rich people live in this neighborhood.	masculine noun	barrio	biohack es-en letter-b noun	a75682cb6652
biohack:es-en:0127	bastante	enough, sufficient	No sé si tengo bastante dinero.	I don't know if I have enough money.		bastante	biohack es-en letter-b	1f51c6e19b05
biohack:es-en:0128	bastar	to suffice, be enough	Ya basta.	No quiero más. That's enough. I don't want any more.	verb	bastar	biohack es-en letter-b verb	c2f79c648678
biohack:es-en:0129	el baúl	m. trunk	Creo que el baúl es demasiado pesado.	I think the trunk is too heavy.	masculine noun	baul	biohack es-en letter-b noun	a691c63f6324
biohack:es-en:0130	beber	to drink	Es peligroso beber y conducir.	It’s dangerous to drink and drive.	verb	beber	biohack es-en letter-b verb	131528c9e3d6
biohack:es-en:0131	la bebida	f. drink, beverage	¿Qué bebidas frías tiene?	What cold drinks do you have?	feminine noun	bebida	biohack es-en letter-b noun	2de38f2e2acf
biohack:es-en:0132	bello	beautiful	Madrid es una de las capitales más bellas de Europa.	Madrid is one of the most beautiful capitals in Europe.		bello	biohack es-en letter-b	a71c5c9550c1
